input_query	input_icd10	mapped_trait_id	mapped_trait_label	note	decision_reason
ICD10 R19: Other symptoms and signs involving the digestive system and abdomen (Gene-based burden)	R19	MONDO_0004335	digestive system disorder	pmid34662886_manual_better_row_1154	manual_anchor_token_match_exceeds_current
ICD10 R20.2: Paresthesia of skin (Gene-based burden)	R20.2	HP_0003401	Paresthesia	pmid34662886_manual_better_row_1170	manual_unique_id_with_strong_query_similarity_gain
ICD10 I44.2: Atrioventricular block, complete	I44.2	MONDO_0000465	atrioventricular block	pmid34662886_manual_better_row_1234	manual_unique_id_with_strong_query_similarity_gain
ICD10 S22.4: Multiple fractures of ribs (Gene-based burden)	S22.4	EFO_0009513	multiple bone fractures	pmid34662886_manual_better_row_1333	manual_unique_id_with_strong_query_similarity_gain
Shingles		EFO_0008401	susceptibility to shingles measurement	pmid34662886_manual_better_row_1466	manual_unique_id_with_strong_query_similarity_gain
ICD10 M85: Other disorders of bone density and structure	M85	HP_0004348	Abnormality of bone mineral density	pmid34662886_manual_better_row_1507	current_generic_manual_more_specific
ICD10 C44: Other and unspecified malignant neoplasm of skin	C44	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_1773	manual_unique_id_with_strong_query_similarity_gain
ICD10 L60.0: Ingrowing nail (Gene-based burden)	L60.0	MONDO_0019283	nail anomaly	pmid34662886_manual_better_row_1869	manual_unique_id_with_strong_query_similarity_gain
ICD10 S62: Fracture at wrist and hand level (Gene-based burden)	S62	EFO_0009515	wrist fracture	pmid34662886_manual_better_row_1885	manual_unique_id_with_strong_query_similarity_gain
ICD10 J43: Emphysema (Gene-based burden)	J43	MONDO_0004849	pulmonary emphysema	pmid34662886_manual_better_row_2044	manual_unique_id_with_strong_query_similarity_gain
ICD10 L02: Cutaneous abscess, furuncle and carbuncle (Gene-based burden)	L02	HP_0031292	Cutaneous abscess	pmid34662886_manual_better_row_2276	manual_unique_id_with_strong_query_similarity_gain
ICD10 J43: Emphysema	J43	MONDO_0004849	pulmonary emphysema	pmid34662886_manual_better_row_2354	manual_unique_id_with_strong_query_similarity_gain
Disc degeneration		MONDO_0044339	lumbar disk degenerative disorder	pmid34662886_manual_better_row_2687	manual_unique_id_with_strong_query_similarity_gain
ICD10 M51: disc degeneration	M51	MONDO_0044339	lumbar disk degenerative disorder	pmid34662886_manual_better_row_2790	manual_anchor_token_match_exceeds_current
ICD10 R5382: chronic fatigue syndrome	R5382	MONDO_0005404	myalgic encephalomeyelitis/chronic fatigue syndrome	pmid34662886_manual_better_row_2813	manual_unique_id_with_strong_query_similarity_gain
ICD10 I10: hypertension	I10	HP_0000822	Hypertension	pmid34662886_manual_better_row_2827	manual_unique_id_with_strong_query_similarity_gain
ICD10 I21.0: ST elevation (STEMI) myocardial infarction of anterior wall (Gene-based burden)	I21.0	EFO_0008585	ST Elevation Myocardial Infarction	pmid34662886_manual_better_row_2902	manual_unique_id_with_strong_query_similarity_gain
ICD10 I21.1: ST elevation (STEMI) myocardial infarction of inferior wall (Gene-based burden)	I21.1	EFO_0008585	ST Elevation Myocardial Infarction	pmid34662886_manual_better_row_2904	manual_unique_id_with_strong_query_similarity_gain
ICD10 I25: Chronic ischemic heart disease (Gene-based burden)	I25	MONDO_0005267	heart disorder	pmid34662886_manual_better_row_2918	manual_unique_id_with_strong_query_similarity_gain
ICD10 I20.0: Unstable angina (Gene-based burden)	I20.0	EFO_0003913	angina pectoris	pmid34662886_manual_better_row_2944	manual_unique_id_with_strong_query_similarity_gain
ICD10 J02.9: Acute pharyngitis, unspecified (Gene-based burden)	J02.9	MONDO_0020600	acute pharyngitis	pmid34662886_manual_better_row_2987	manual_unique_id_with_strong_query_similarity_gain
Disc degeneration (Gene-based burden)		MONDO_0044339	lumbar disk degenerative disorder	pmid34662886_manual_better_row_3217	manual_unique_id_with_strong_query_similarity_gain
ICD10 M51: disc degeneration (Gene-based burden)	M51	MONDO_0044339	lumbar disk degenerative disorder	pmid34662886_manual_better_row_3219	manual_anchor_token_match_exceeds_current
Cognitive function - FI2 identify largest number - 714 (UKB data field 4946)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3250	current_generic_manual_more_specific
Cognitive function - FI2 identify largest number - 987 (UKB data field 4946)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3252	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - adult (UKB data field 4957)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3258	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - develop (UKB data field 4957)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3260	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - grow (UKB data field 4957)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3262	current_generic_manual_more_specific
Cognitive function - FI2 identify largest number - 714 (UKB data field 20167)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3351	current_generic_manual_more_specific
Cognitive function - FI2 identify largest number - 987 (UKB data field 20167)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3353	current_generic_manual_more_specific
Cognitive function - FI1 numeric addition test - 14 (20165)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3355	current_generic_manual_more_specific
Cognitive function - FI1 numeric addition test - 15 (20165)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3357	current_generic_manual_more_specific
Cognitive function - FI1 numeric addition test - 16 (20165)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3359	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - adult (UKB data field 20169)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3361	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - develop (UKB data field 20169)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3363	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - grow (UKB data field 20169)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3365	current_generic_manual_more_specific
Cognitive function - FI4 positional arithmetic - 5 (UKB data field 20171)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3367	manual_unique_id_with_strong_query_similarity_gain
Sensitive stomach (UKB data field 21064) (Gene-based burden)		MONDO_0004298	stomach disorder	pmid34662886_manual_better_row_3386	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 25 (UKB data field 5012)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3389	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 26 (UKB data field 5012)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3391	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 27 (UKB data field 5012)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3393	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 28 (UKB data field 5012)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3395	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 29 (UKB data field 5012)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3397	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 68 (UKB data field 20175)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3403	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 69 (UKB data field 20175)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3405	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 70 (UKB data field 20175)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3407	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 71 (UKB data field 20175)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3409	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 72 (UKB data field 20175)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3411	manual_unique_id_with_strong_query_similarity_gain
Visual acuity - mean spherical equivalent (UKB data field 20261)		EFO_0008385	visual acuity measurement	pmid34662886_manual_better_row_3413	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI10 arithmetic sequence recognition - 92 (UKB data field 5699)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3438	current_generic_manual_more_specific
Cognitive function - FI10 arithmetic sequence recognition - 93 (UKB data field 5699)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3440	current_generic_manual_more_specific
Cognitive function - FI10 arithmetic sequence recognition - 94 (UKB data field 5699)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3442	current_generic_manual_more_specific
Cognitive function - FI10 arithmetic sequence recognition - 95 (UKB data field 5699)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3444	current_generic_manual_more_specific
Cognitive function - FI10 arithmetic sequence recognition - 96 (UKB data field 5699)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_3446	current_generic_manual_more_specific
Irritability (UKB data field 1940)		HP_0000737	Irritability	pmid34662886_manual_better_row_3587	manual_unique_id_with_strong_query_similarity_gain
ICD10 C44.3: Other and unspecified malignant neoplasm of skin of other and unspecified parts of face	C44.3	MONDO_0002531	skin neoplasm	pmid34662886_manual_better_row_3665	manual_unique_id_with_strong_query_similarity_gain
Insulin levels (UKB data field 6177) (Gene-based burden)		EFO_0004467	insulin measurement	pmid34662886_manual_better_row_3879	manual_unique_id_with_strong_query_similarity_gain
ICD10 R5382: chronic fatigue syndrome (Gene-based burden)	R5382	MONDO_0005404	myalgic encephalomeyelitis/chronic fatigue syndrome	pmid34662886_manual_better_row_3961	manual_unique_id_with_strong_query_similarity_gain
ICD10 N84: uterine polyps	N84	MONDO_0004701	uterine polyp	pmid34662886_manual_better_row_3982	manual_unique_id_with_strong_query_similarity_gain
Family history of IBS (UKB data field 21065)		EFO_0000493	family history	pmid34662886_manual_better_row_4063	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 68 (UKB data field 4990)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4080	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 69 (UKB data field 4990)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4082	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 70 (UKB data field 4990)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4084	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 71 (UKB data field 4990)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4086	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 72 (UKB data field 4990)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4088	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 25 (UKB data field 20179)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4139	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 26 (UKB data field 20179)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4140	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 27 (UKB data field 20179)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4142	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 28 (UKB data field 20179)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4144	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI8 chained arithmetic - 29 (UKB data field 20179)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4146	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 72 (UKB data field 20175) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4252	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 68 (UKB data field 4990) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4254	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 69 (UKB data field 4990) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4256	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 70 (UKB data field 4990) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4258	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 71 (UKB data field 4990) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4260	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 72 (UKB data field 4990) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4261	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - break (UKB data field 5001) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4264	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI7 synonym - cease (UKB data field 20177) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4266	manual_unique_id_with_strong_query_similarity_gain
Visual acuity - mean spherical equivalent (UKB data field 20261) (Gene-based burden)		EFO_0008385	visual acuity measurement	pmid34662886_manual_better_row_4277	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI5 family relationship calculation - aunt (UKB data field 4979) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4301	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - cousin (UKB data field 20173) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4303	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - cousin (UKB data field 4979) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4305	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - niece (UKB data field 20173) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4306	current_generic_manual_more_specific
ICD10 M79.65: Pain in thigh	M79.65	HP_0012531	Pain	pmid34662886_manual_better_row_4308	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI5 family relationship calculation - niece (UKB data field 4979) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4309	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - no relation (UKB data field 20173) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4311	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - no relation (UKB data field 4979) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4313	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - sister (UKB data field 20173) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4315	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - sister (UKB data field 4979) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4317	current_generic_manual_more_specific
Cognitive function - FI6 conditional arithmetic - 68 (UKB data field 20175) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4319	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 69 (UKB data field 20175) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4321	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 70 (UKB data field 20175) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4323	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI6 conditional arithmetic - 71 (UKB data field 20175) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4325	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI3 word interpolation - grow (UKB data field 20169) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4327	current_generic_manual_more_specific
Cognitive function - FI3 word interpolation - grow (UKB data field 4957) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4329	current_generic_manual_more_specific
Cognitive function - FI4 positional arithmetic - 5 (UKB data field 20171) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4332	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 5 (UKB data field 4968) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4333	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 6 (UKB data field 20171) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4335	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 6 (UKB data field 4968) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4337	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 7 (UKB data field 20171) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4339	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 7 (UKB data field 4968) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4341	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 8 (UKB data field 20171) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4343	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI4 positional arithmetic - 8 (UKB data field 4968) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4345	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI5 family relationship calculation - aunt (UKB data field 20173) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4347	current_generic_manual_more_specific
Cognitive function - FI4 positional arithmetic - 9 (UKB data field 20171) (Gene-based burden)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4348	manual_unique_id_with_strong_query_similarity_gain
Non-alcoholic fatty liver disease - Composite		MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	pmid34662886_manual_better_row_4484	manual_unique_id_with_strong_query_similarity_gain
Irritability (UKB data field 1940) (Gene-based burden)		HP_0000737	Irritability	pmid34662886_manual_better_row_4668	manual_unique_id_with_strong_query_similarity_gain
ICD10 N84: uterine polyps (Gene-based burden)	N84	MONDO_0004701	uterine polyp	pmid34662886_manual_better_row_4824	manual_unique_id_with_strong_query_similarity_gain
Sensitive stomach (UKB data field 21064)		MONDO_0004298	stomach disorder	pmid34662886_manual_better_row_4882	manual_unique_id_with_strong_query_similarity_gain
Cognitive function - FI5 family relationship calculation - aunt (UKB data field 4979)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4896	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - cousin (UKB data field 4979)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4898	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - niece (UKB data field 4979)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4900	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - no relation (UKB data field 4979)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4902	current_generic_manual_more_specific
Cognitive function - FI5 family relationship calculation - sister (UKB data field 4979)		EFO_0008354	cognitive function measurement	pmid34662886_manual_better_row_4904	current_generic_manual_more_specific
ICD10 I21.0: ST elevation (STEMI) myocardial infarction of anterior wall	I21.0	EFO_0008585	ST Elevation Myocardial Infarction	pmid34662886_manual_better_row_5007	manual_unique_id_with_strong_query_similarity_gain
ICD10 I21.1: ST elevation (STEMI) myocardial infarction of inferior wall	I21.1	EFO_0008585	ST Elevation Myocardial Infarction	pmid34662886_manual_better_row_5009	manual_unique_id_with_strong_query_similarity_gain
ICD10 J22: Unspecified acute lower respiratory infection (Gene-based burden)	J22	MONDO_0000270	lower respiratory tract disorder	pmid34662886_manual_better_row_5115	manual_unique_id_with_strong_query_similarity_gain
Non-alcoholic fatty liver disease - Cirrhosis		MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	pmid34662886_manual_better_row_5125	manual_unique_id_with_strong_query_similarity_gain
Non-alcoholic fatty liver disease - Cirrhosis (Gene-based burden)		MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	pmid34662886_manual_better_row_5281	manual_unique_id_with_strong_query_similarity_gain
Non-alcoholic fatty liver disease - Composite (Gene-based burden)		MONDO_0013209	metabolic dysfunction-associated steatotic liver disease	pmid34662886_manual_better_row_5283	manual_unique_id_with_strong_query_similarity_gain
Type 2 diabetes Nephropathy Loose (Gene-based burden)		EFO_0004997	type 2 diabetes nephropathy	pmid34662886_manual_better_row_5354	manual_unique_id_with_strong_query_similarity_gain
